wavelength,efficiency
0.99302703,2.9688329e-06
0.99316216,2.9556747e-06
0.99329734,2.9471994e-06
0.9934324,2.9349267e-06
0.9935676,2.9159135e-06
0.9937027,2.8931513e-06
0.99383783,2.8726433e-06
0.993973,2.8638417e-06
0.99410814,2.8783825e-06
0.99424326,2.927847e-06
0.9943784,3.017252e-06
0.9945135,3.1457007e-06
0.9946487,3.3014703e-06
0.99478376,3.452714e-06
0.99491894,3.570091e-06
0.99505407,3.6241768e-06
0.9951892,3.5976127e-06
0.9953244,3.4867767e-06
0.9954595,3.313977e-06
0.9955946,3.1076781e-06
0.99572974,2.901987e-06
0.99586487,2.7312387e-06
0.99600005,2.6194296e-06
0.9961352,2.5801503e-06
0.9962703,2.6193557e-06
0.99640536,2.7308995e-06
0.99654055,2.8977918e-06
0.9966757,3.1009702e-06
0.9968108,3.3014742e-06
0.9969459,3.4710786e-06
0.99708104,3.5781613e-06
0.9972162,3.6048239e-06
0.9973513,3.5505946e-06
0.9974865,3.4284467e-06
0.9976216,3.2663725e-06
0.9977567,3.0923586e-06
0.9978919,2.9381174e-06
0.99802697,2.820043e-06
0.99816215,2.753529e-06
0.9982973,2.740501e-06
0.9984324,2.7808417e-06
0.9985676,2.8688723e-06
0.99870265,2.98995e-06
0.9988378,3.1288728e-06
0.99897295,3.262547e-06
0.9991081,3.369832e-06
0.99924326,3.4299778e-06
0.9993784,3.4337204e-06
0.9995135,3.383005e-06
0.9996486,3.2904252e-06
0.99978375,3.1763345e-06
0.99991894,3.0578997e-06
1.0000541,2.956932e-06
1.0001892,2.880934e-06
1.0003242,2.8410261e-06
1.0004594,2.8389627e-06
1.0005946,2.876993e-06
1.0007298,2.9542764e-06
1.0008649,3.0610058e-06
1.0009999,3.182918e-06
1.0011351,3.3013687e-06
1.0012703,3.39168e-06
1.0014055,3.436187e-06
1.0015405,3.4242034e-06
1.0016757,3.3559984e-06
1.0018108,3.2462306e-06
1.001946,3.111747e-06
1.0020812,2.9760447e-06
1.0022162,2.8594454e-06
1.0023514,2.7750668e-06
1.0024865,2.7387134e-06
1.0026217,2.7561834e-06
1.0027568,2.8300337e-06
1.0028919,2.9552798e-06
1.0030271,3.1161997e-06
1.0031621,3.2924052e-06
1.0032973,3.4496577e-06
1.0034324,3.5636933e-06
1.0035676,3.6056047e-06
1.0037028,3.566119e-06
1.0038378,3.4487898e-06
1.003973,3.2746225e-06
1.0041081,3.0748226e-06
1.0042433,2.878885e-06
1.0043783,2.7173642e-06
1.0045135,2.613068e-06
1.0046487,2.5801362e-06
1.0047837,2.6230177e-06
1.0049189,2.7366168e-06
1.005054,2.9064483e-06
1.0051892,3.1106752e-06
1.0053244,3.311417e-06
1.0054594,3.483778e-06
1.0055946,3.5945409e-06
1.0057297,3.6246795e-06
1.0058649,3.5744056e-06
1.006,3.4576105e-06
1.0061351,3.3048645e-06
1.0062703,3.1452441e-06
1.0064054,3.0108927e-06
1.0065405,2.9166142e-06
1.0066757,2.8711152e-06
1.0068108,2.8683444e-06
1.006946,2.8960153e-06
1.007081,2.938937e-06
1.0072162,2.9808912e-06
1.0073513,3.0121105e-06
1.0074865,3.024729e-06
1.0076215,3.0177084e-06
1.0077567,2.9967428e-06
1.0078919,2.9724051e-06
1.008027,2.9615655e-06
1.0081621,2.9819846e-06
1.0082972,3.0462984e-06
1.0084324,3.157524e-06
1.0085676,3.3019517e-06
1.0087026,3.4556203e-06
1.0088377,3.5866292e-06
1.0089729,3.6598412e-06
1.0091081,3.6547478e-06
1.0092432,3.5666264e-06
1.0093783,3.406785e-06
1.0095135,3.2044702e-06
1.0096486,2.9958162e-06
1.0097837,2.8171378e-06
1.0099189,2.6916566e-06
1.010054,2.6316236e-06
1.0101892,2.6370913e-06
1.0103242,2.6956209e-06
1.0104594,2.787609e-06
1.0105946,2.8903773e-06
1.0107297,2.9825378e-06
1.0108649,3.0462136e-06
1.0109999,3.0756341e-06
1.0111351,3.0743106e-06
1.0112703,3.0576034e-06
1.0114053,3.0488036e-06
1.0115405,3.071898e-06
1.0116756,3.1428694e-06
1.0118108,3.2650426e-06
1.011946,3.420264e-06
1.012081,3.5786582e-06
1.0122162,3.7031389e-06
1.0123513,3.7594175e-06
1.0124865,3.729673e-06
1.0126216,3.617659e-06
1.0127568,3.4455595e-06
1.0128919,3.2499313e-06
1.013027,3.0686215e-06
1.0131621,2.9352436e-06
